Ticker,Samples,Test_Size,Endo_F1,Endo_Precision,Endo_Recall,Endo_AUC,Exo_F1,Exo_Precision,Exo_Recall,Exo_AUC,F1_Lift,Exo_Better,DM_Stat,P_Value,Significant
ABUK.CA,3933,786,0.424597364568082,0.5991735537190083,0.3287981859410431,0.5542640244503598,0.6196581196581197,0.5858585858585859,0.6575963718820862,0.5389694041867955,0.4594017094017094,True,0.4524814325387786,0.6510472097359199,False
ADIB.CA,4707,941,0.5242165242165242,0.5130111524163569,0.5359223300970873,0.45530789917498526,0.5760576057605761,0.5369127516778524,0.6213592233009708,0.4738274306030357,0.09889249794544677,True,4.331906397368741,1.637180212576972e-05,True
AMOC.CA,3599,719,0.5454545454545454,0.5503875968992248,0.5406091370558376,0.5078016399843811,0.2271062271062271,0.40789473684210525,0.15736040609137056,0.4362202264740336,-0.5836385836385837,False,-1.1555945556488838,0.2482314346810679,False
BTFH.CA,2922,584,0.45692883895131087,0.48221343873517786,0.43416370106761565,0.5437910339076613,0.24615384615384617,0.44036697247706424,0.1708185053380783,0.45882808921461543,-0.46128625472887763,False,-1.4302938375232845,0.1531684142745413,False
CICH.CA,1518,303,0.6271186440677966,0.6032608695652174,0.6529411764705882,0.5781733746130031,0.572289156626506,0.5864197530864198,0.5588235294117647,0.5458867757629368,-0.08743080429827416,False,-1.3593390141183566,0.17505333834275927,False
CIEB.CA,3804,760,0.23655913978494625,0.46808510638297873,0.15827338129496402,0.46724136725604937,0.1935483870967742,0.4636363636363636,0.1223021582733813,0.4664932776810622,-0.18181818181818188,False,-5.083183177886716,4.678585108219835e-07,True
CLHO.CA,1790,358,0.379746835443038,0.5405405405405406,0.2926829268292683,0.47167224613422604,0.2222222222222222,0.5178571428571429,0.14146341463414633,0.39727403156384505,-0.4148148148148149,False,0.6837184950660733,0.4945964708796664,False
COMI.CA,4478,895,0.6817082997582594,0.5778688524590164,0.831041257367387,0.5600817410955139,0.3409090909090909,0.6153846153846154,0.2357563850687623,0.5221123405641459,-0.4999194068343005,False,0.30267815599774855,0.7622055562709213,False
EAST.CA,4148,829,0.6587807097361238,0.5801282051282052,0.7621052631578947,0.48805233422539407,0.41644562334217505,0.5627240143369175,0.33052631578947367,0.4869580731489741,-0.3678539502029691,False,-5.319686418053777,1.3386999619946494e-07,True
EFID.CA,1839,367,0.6095238095238096,0.5493562231759657,0.6844919786096256,0.5926470588235294,0.5144508670520231,0.559748427672956,0.47593582887700536,0.5461972667855021,-0.15597904624277462,False,-0.15194987433148552,0.879310194508591,False
EFIH.CA,859,171,0.3592814371257485,0.46875,0.2912621359223301,0.3712164477441462,0.2553191489361702,0.47368421052631576,0.17475728155339806,0.4270416904625928,-0.28936170212765966,False,2.975712458186654,0.003349257520382176,True
EKHO.CA,3566,713,0.31007751937984496,0.38461538461538464,0.2597402597402597,0.4453823953823953,0.4879518072289157,0.4550561797752809,0.525974025974026,0.5146705146705146,0.5736445783132531,True,1.4867848293521189,0.13751432847526024,False
EMFD.CA,2114,422,0.45427728613569324,0.5923076923076923,0.3684210526315789,0.575914819057888,0.6237424547283702,0.5381944444444444,0.7416267942583732,0.5969741896354203,0.3730434555384252,True,1.2549507452365705,0.21019282459111932,False
ETEL.CA,3827,765,0.6560509554140127,0.6574468085106383,0.6546610169491526,0.5620444553710882,0.7162041181736795,0.6201550387596899,0.847457627118644,0.5205645861051658,0.09168977236182214,True,0.6214685276682106,0.5344767798813908,False
EXPA.CA,4415,883,0.4429882044560944,0.528125,0.38148984198645597,0.5267289144264313,0.6228926353149956,0.5131578947368421,0.7923250564334086,0.5305176482659553,0.4061156235069279,True,0.24853378664051143,0.8037792881260639,False
FAIT.CA,3637,727,0.7030430220356768,0.638095238095238,0.7827102803738317,0.5723048791923233,0.4467153284671533,0.5953307392996109,0.3574766355140187,0.5428335885975057,-0.36459745070269095,False,-1.01157927228083,0.3120762732722395,False
FWRY.CA,1292,258,0.5204460966542751,0.6086956521739131,0.45454545454545453,0.5276598401598401,0.555984555984556,0.6857142857142857,0.4675324675324675,0.5926885614385615,0.06828461114175398,True,2.646619637312262,0.008631939602942174,True
GBCO.CA,3692,738,0.3327556325823224,0.676056338028169,0.2206896551724138,0.5687682561359584,0.07032967032967033,0.8,0.0367816091954023,0.5938849057319525,-0.7886446886446886,False,-9.27971768340738,0.0,True
HDBK.CA,4354,870,0.6099158091674463,0.5709281961471103,0.6546184738955824,0.49488815476961606,0.680637049455155,0.5841726618705037,0.8152610441767069,0.5006909357861554,0.11595246298705623,True,2.957019605427552,0.0031903751738959762,True
HELI.CA,4884,976,0.590370955011839,0.4888888888888889,0.7450199203187251,0.44189276648679543,0.18210361067503925,0.42962962962962964,0.11553784860557768,0.5025236606317346,-0.6915437503672799,False,-1.5922861943748818,0.111644544373106,False
HRHO.CA,4819,963,0.25287356321839083,0.4971751412429379,0.16955684007707128,0.45499401135239287,0.23668639053254437,0.5095541401273885,0.15414258188824662,0.4577713551701992,-0.06401291016675646,False,4.421687355427338,1.0909007548409733e-05,True
ISPH.CA,1652,330,0.6751592356687898,0.6022727272727273,0.7681159420289855,0.4881976355995444,0.6894865525672371,0.698019801980198,0.6811594202898551,0.6091080476022152,0.02122064861373806,True,4.156730638968287,4.1216790680032034e-05,True
JUFO.CA,3002,600,0.29310344827586204,0.5190839694656488,0.2042042042042042,0.47449696887899134,0.44363636363636366,0.5622119815668203,0.3663663663663664,0.5004667588937252,0.513582887700535,True,1.9095014581716485,0.05667486437835079,False
MASR.CA,4517,903,0.3459915611814346,0.5168067226890757,0.26004228329809725,0.5272309356408871,0.21428571428571427,0.5478260869565217,0.1331923890063425,0.5515413737155219,-0.3806620209059234,False,-2.588062034091174,0.009806996229480891,True
MFPC.CA,1845,369,0.3890577507598784,0.3950617283950617,0.38323353293413176,0.43924527183257245,0.5441176470588235,0.4605809128630705,0.6646706586826348,0.4727129898618605,0.39855238970588225,True,2.425389342188559,0.015772338749378223,True
OCDI.CA,4939,987,0.39352428393524286,0.512987012987013,0.3191919191919192,0.5174221893734089,0.40993788819875776,0.532258064516129,0.3333333333333333,0.5441960252935862,0.0417092538721597,True,1.7313273492800234,0.08370619990361883,False
ORHD.CA,2715,543,0.2582278481012658,0.5483870967741935,0.16887417218543047,0.4598183616828337,0.6581196581196581,0.5775,0.7649006622516556,0.547312522326949,1.548600636835931,True,4.832294680839137,1.759674932211297e-06,True
PHDC.CA,3660,732,0.484149855907781,0.6222222222222222,0.39622641509433965,0.542418371722617,0.35451505016722407,0.6091954022988506,0.25,0.4996975312423426,-0.26775760471412646,False,1.8467528395806134,0.06518696537915125,False
SAUD.CA,4383,876,0.47350620067643745,0.5614973262032086,0.4093567251461988,0.4897781644193128,0.0,0.0,0.0,0.5014391657134878,-1.0,False,-4.410747159162387,1.1584189318236682e-05,True
SKPC.CA,3910,782,0.5832376578645235,0.5545851528384279,0.6150121065375302,0.5525633706700264,0.33273703041144903,0.636986301369863,0.22518159806295399,0.5527995957925681,-0.42950009155832264,False,-3.462789658146215,0.0005636987822386086,True
SWDY.CA,3864,772,0.4794520547945205,0.5952380952380952,0.4013761467889908,0.5003959152468327,0.4897959183673469,0.6020066889632107,0.41284403669724773,0.5129491590214067,0.021574344023323647,True,-2.5146687598936195,0.012116869275184738,True
