Ticker,Samples,Train,Val,Test,Endo_Features,Exo_Features,Endo_F1,Endo_Precision,Endo_Recall,Endo_Threshold,Exo_F1,Exo_Precision,Exo_Recall,Exo_Threshold,F1_Lift,Exo_Better,DM_Stat,P_Value,Significant
ABUK.CA,1664,1164,249,251,29,53,0.7258883248730964,0.5697211155378487,1.0,0.3,0.7258883248730964,0.5697211155378487,1.0,0.3,0.0,False,-2.206425617019583,0.028263838607199387,False
ADIB.CA,2092,1464,313,315,29,53,0.7323943661971831,0.5777777777777777,1.0,0.3,0.7323943661971831,0.5777777777777777,1.0,0.3,0.0,False,-3.6010297457065414,0.000368274333989671,False
AMOC.CA,1556,1089,233,234,29,53,0.6890756302521008,0.5256410256410257,1.0,0.3,0.6890756302521008,0.5256410256410257,1.0,0.3,0.0,False,-0.15763495355397159,0.8748809808303526,False
BTFH.CA,1367,956,205,206,29,53,0.6794871794871795,0.5145631067961165,1.0,0.3,0.6644736842105263,0.51010101010101,0.9528301886792453,0.3,-0.022095332671300916,False,-0.5629202521673424,0.574104309432641,False
CICH.CA,662,463,99,100,29,53,0.75,0.6,1.0,0.3,0.7468354430379747,0.6020408163265306,0.9833333333333333,0.48000000000000015,-0.004219409282700444,False,-1.796744020582413,0.0754257608304949,False
CIEB.CA,1644,1150,246,248,29,53,0.7379134860050891,0.5846774193548387,1.0,0.3,0.7379134860050891,0.5846774193548387,1.0,0.3,0.0,False,1.5692295911203233,0.11787459809701906,False
CLHO.CA,804,562,120,122,29,53,0.7738693467336684,0.6311475409836066,1.0,0.36000000000000004,0.7715736040609137,0.6333333333333333,0.987012987012987,0.46000000000000013,-0.002966576570637534,False,2.944330971963267,0.0038818162772833453,False
COMI.CA,1900,1330,285,285,29,53,0.7635574837310195,0.6175438596491228,1.0,0.3,0.7635574837310195,0.6175438596491228,1.0,0.3,0.0,False,-0.21376199589497305,0.8308860453900466,False
EAST.CA,1803,1262,270,271,29,53,0.7424593967517401,0.5904059040590406,1.0,0.3,0.6467391304347826,0.5721153846153846,0.74375,0.48000000000000015,-0.12892323369565215,False,0.9405708009401615,0.3477655763671703,False
EFID.CA,792,554,118,120,29,53,0.7165775401069518,0.5583333333333333,1.0,0.3,0.7165775401069518,0.5583333333333333,1.0,0.3,0.0,False,-0.5423984425266247,0.5885583749639647,False
EFIH.CA,391,273,58,60,29,53,0.7708333333333334,0.6271186440677966,1.0,0.48000000000000015,0.7628865979381443,0.6166666666666667,1.0,0.3,-0.010309278350515571,False,0.4666341316506918,0.6424801857640912,False
EKHO.CA,1563,1094,234,235,29,53,0.48372093023255813,0.4297520661157025,0.5531914893617021,0.46000000000000013,0.5794392523364486,0.40969162995594716,0.9893617021276596,0.38000000000000006,0.19787922358015808,True,-3.1776482217612925,0.0016848625665404349,True
EMFD.CA,946,662,141,143,29,53,0.6820276497695853,0.5174825174825175,1.0,0.3,0.6820276497695853,0.5174825174825175,1.0,0.3,0.0,False,-1.2234384035095387,0.22319047606605613,False
ETEL.CA,1656,1159,248,249,29,53,0.7661691542288557,0.6209677419354839,1.0,0.48000000000000015,0.7642679900744417,0.6184738955823293,1.0,0.3,-0.0024813895781637175,False,-0.3702973885320943,0.7114769758283537,False
EXPA.CA,1918,1342,287,289,29,53,0.7098214285714286,0.5501730103806228,1.0,0.3,0.7098214285714286,0.5501730103806228,1.0,0.3,0.0,False,-0.9433862442176674,0.34627408342273713,False
FAIT.CA,1534,1073,230,231,29,53,0.7307692307692307,0.5757575757575758,1.0,0.3,0.7307692307692307,0.5757575757575758,1.0,0.3,0.0,False,-1.0090823244767657,0.3139955503310241,False
FWRY.CA,589,412,88,89,29,53,0.7891156462585034,0.651685393258427,1.0,0.3,0.7891156462585034,0.651685393258427,1.0,0.3,0.0,False,-2.1380314763700032,0.03528625266080798,False
GBCO.CA,1665,1165,249,251,29,53,0.7169811320754716,0.5859030837004405,0.9236111111111112,0.3,0.7291139240506329,0.5737051792828686,1.0,0.3,0.016922051965356497,True,2.1729299196292655,0.030725053658564372,True
HDBK.CA,1876,1313,281,282,29,53,0.7522123893805309,0.6115107913669064,0.9770114942528736,0.4200000000000001,0.7631578947368421,0.6170212765957447,1.0,0.46000000000000013,0.014551083591331395,True,1.5973265732654318,0.11131681663739745,False
HELI.CA,2229,1560,334,335,29,53,0.6939571150097466,0.5313432835820896,1.0,0.3,0.6939571150097466,0.5313432835820896,1.0,0.3,0.0,False,0.7219715016972761,0.4708171404045236,False
HRHO.CA,2193,1535,328,330,29,53,0.7159533073929961,0.5575757575757576,1.0,0.3,0.7159533073929961,0.5575757575757576,1.0,0.3,0.0,False,0.5866032096112956,0.5578724965003503,False
ISPH.CA,759,531,113,115,29,53,0.776595744680851,0.6347826086956522,1.0,0.3,0.7608695652173914,0.6306306306306306,0.958904109589041,0.4000000000000001,-0.020250148898153544,False,-0.2275437354383586,0.8204085521840649,False
JUFO.CA,1364,954,204,206,29,53,0.6496350364963503,0.5426829268292683,0.8090909090909091,0.46000000000000013,0.6962025316455697,0.5339805825242718,1.0,0.3,0.07168254871284323,True,0.17690060379119388,0.8597611149785849,False
MASR.CA,2038,1426,305,307,29,53,0.7100840336134454,0.5504885993485342,1.0,0.3,0.7100840336134454,0.5504885993485342,1.0,0.3,0.0,False,-0.9673859456239235,0.33411508454292616,False
MFPC.CA,819,573,122,124,29,53,0.6440677966101694,0.4789915966386555,0.9827586206896551,0.38000000000000006,0.6256983240223464,0.4628099173553719,0.9655172413793104,0.46000000000000013,-0.02852102322846213,False,1.1126515043703835,0.2680279779299217,False
OCDI.CA,2244,1570,336,338,29,53,0.6653465346534654,0.5014925373134328,0.9882352941176471,0.48000000000000015,0.6692913385826772,0.5029585798816568,1.0,0.3,0.005928946381702282,True,1.74790299047344,0.0813915335470361,False
ORHD.CA,1261,882,189,190,29,53,0.7290969899665551,0.5736842105263158,1.0,0.3,0.7290969899665551,0.5736842105263158,1.0,0.3,0.0,False,1.5748712953976132,0.11695857214947214,False
PHDC.CA,1676,1173,251,252,29,53,0.746268656716418,0.5952380952380952,1.0,0.3,0.74,0.592,0.9866666666666667,0.3,-0.00840000000000007,False,-0.7418683287428776,0.45886072360663754,False
SAUD.CA,1926,1348,288,290,29,53,0.6187845303867403,0.5957446808510638,0.6436781609195402,0.34,0.7276995305164319,0.6150793650793651,0.8908045977011494,0.48000000000000015,0.176014419852448,True,4.534025931288394,8.486414400765696e-06,True
SKPC.CA,1709,1196,256,257,29,53,0.6887755102040817,0.5252918287937743,1.0,0.48000000000000015,0.6887755102040817,0.5252918287937743,1.0,0.3,0.0,False,0.34125638751095716,0.7331905015341396,False
SWDY.CA,1732,1212,259,261,29,53,0.7070707070707071,0.56,0.958904109589041,0.3,0.702020202020202,0.556,0.952054794520548,0.4200000000000001,-0.007142857142857189,False,1.745760656855858,0.08203375890800246,False
